_id,Sl No,Name Of School With Address
1,1,"CORPORATION HIGH SCHOOL, WEST COO YAM RIVER ROAD, CHINTADRIPET, CHENNAI-2"
2,2,"CORPORATION HIGH SCHOOL, GOYYATHOPE, 25 NAGAPPA STREET, PUDUPET, CHENNAI-2"
3,3,"CORPORATION HIGH SCHOOL, KANNIAPPA NAGAR, ASHOKNAGAR, CHENNAI-83"
4,4,"CORPORATION HIGH SCHOOL, JAFFERKHANPET,AHSOK NAGAR, CHENNAI-83"
5,5,"CORPORATION HIGH SCHOOL, NESAPPAKAM, CHENNAI-78"
6,6,"CORPORATION HIGH SCHOOL, IRUSAPPA STREET, TRIPLICANE, CHENNAI-5"
7,7,"CORPORATION HIGH SCHOOL, VIRUGAMBAKKAM,CHENNAI-92"
8,8,"CORPORATION HIGH SCHOOL,KOYAMBEDU, CHENNAI-107"
9,9,"CORPORATION HIGH SCHOOL, THIRUVALLUVARPURAM, CHOOLAIMEDU, CHENNAI-94"
10,10,"CORPORATION HIGH SCHOOL, KARANESSWARAR PAGODA STREET, MYLAPORE, CHENNAI-4"
11,11,"CORPORATION HIGH SCHOOL(GIRLS), PUDUPAKKAM, CHENNAI-14"
12,12,"CORPORATION HIGH SCHOOL, CANAL BANK ROAD, MANDAVELI, CHENNAI-28"
13,13,"CORPORATION HIGH SCHOOL, V.P. KOIL STREET, CHENNAI-4"
14,14,"CORPORATION HIGH SCHOOL, 48 ELD AMS ROAD, VANNIYA TEYNAMPET, CHENNAI-18"
15,15,"CORPORATION HIGH SCHOOL, 24 ARUNACHALAM STREET, CHENNAI-5"
16,16,"CORPORATION HIGH SCHOOL, 1 MODEL SCHOOL ROAD, THOUSAND LIGHTS, CHENNAI-6"
17,17,"CORPORATION HIGH SCHOOL, KAMARAJAR AVENUE, ADYAR, CHENNAI-20"
18,18,"CORPORATION HIGH SCHOOL, SOAMAYARAJA STREET, CHENNAI-82"
19,19,"CORPORATION HIGH SCHOOL, STRAWHANS SALAI,CHENNAI-12"
20,20,"CORPORATION HIGH SCHOOL,PALAVAYAL ROAD, AYANPURAM, CHENNAI-23"
21,21,"CORPORATION HIGH SCHOOL, NAMMAZHWARPET,CHENNAI-12"
22,22,"CORPORATION HIGH SCHOOL, GANESAPURAM, CHENNAI-39"
23,23,"CORPORATION HIGH SCHOOL, KALYANAPURAM, CHENNAI-39"
24,24,"CORPORATION HIGH SCHOOL, COOKS ROAD, CHENNAI-12"
25,25,"CORPORATION HIGH SCHOOL, NATTUPILLAIYAR KOIL STREET, CHENNAI-79"
26,26,"CORPORATION HIGH SCHOOL, WALLTAX ROAD, CHENNAI-79"
27,27,"CORPORATION HIGH SCHOOL, PADAV ATT AMMAN KOIL STREET, KUYAPPETTAI, CHENNAI-12"
28,28,"CORPORATION HIGH SCHOOL, THYAGAPPA STREET, KILPAUK, CHENNAI-10"
29,29,"CORPORATION HIGH SCHOOL, PAADASALAI STREET, KOLATHUR, CHENNAI-99"
30,30,"CORPORATION HIGH SCHOOL, AMMAYAMMAL STREET, PULIYANTHOPE, CHENNAI-12"
31,31,"CORPORATION HIGH SCHOOL, EURKKANCHERY, CHENNAI-118"
32,32,"CORPORATION HIGH SCHOOL, KAMARAJAR SALAI, KODUNGAIYUR, CHENNAI-118"
33,33,"CORPORATION HIGH SCHOOL, MANIGANDAN STREET, CHENNAI-21"
34,34,"CORPORATION HIGH SCHOOL, EAST CEMETRY SALAI, CHANNAI-21"
35,35,"CORPORATION HIGH SCHOOL, SEVEN WELLS , CHENNAI-79"
36,36,"CORPORATION HIGH SCHOOL, APPASAMY LANE,CHENNAI-81"
37,37,"CORPORATION HIGH SCHOOL, COCKRONE BASIN STREET, CHENNAI-21"
38,38,"CORPORATION HIGH SCHOOL, PATEL NAGAR, CHENNAI-81"
39,39,"CORPORATION HIGH SCHOOL, S.N.CHETTY STREET,CHENNAT-13"
40,40,"CORPORATION HIGH SCHOOL, AARTHOON ROAD,CHENNAI-13"
41,41,"CORPORATION HIGH SCHOOL, ANJANEYA NAGAR,CHENNAI-13"
42,42,"CORPORATION HIGH SCHOOL, MPT COLONY, CHENNAI-81"
